ref,species,yearstart,locality,dist_to_shore
contreras2019,diaphus vanhoeffeni,2015,brazil,713326.0634402985
contreras2019,myctophum affine,2015,brazil,713326.0634402985
contreras2019,hygophum macrochir,2015,brazil,713326.0634402985
duan2024,electrona antarctica,2021,amundsen sea,554059.1147253357
eduardo2021,diaphus brachycephalus,2017,brazil,139569.3887553
eduardo2021,hygophum taaningi,2017,brazil,139569.3887553
eduardo2021,diaphus mollis,2017,brazil,139569.3887553
eduardo2021,lepidophanes guentheri,2017,brazil,139569.3887553
eduardo2021,diaphus perspicillatus,2017,brazil,139569.3887553
eduardo2021,electrona risso,2017,brazil,139569.3887553
eduardo2021,diaphus fragilis,2017,brazil,139569.3887553
eduardo2021,diaphus dumerilii,2017,brazil,139569.3887553
eduardo2021,lampanyctus nobilis,2017,brazil,139569.3887553
fanelli2014,lampanyctus crocodilus,2007,mediterranean,74233.16608858395
gaskett2001,electrona antarctica,1999,australia,113761.98756186452
gaskett2001,electrona carlsbergi,1999,australia,113761.98756186452
gaskett2001,electrona subaspera,1999,australia,113761.98756186452
gaskett2001,gymnoscopelus bolini,1999,australia,113761.98756186452
gaskett2001,gymnoscopelus braueri,1999,australia pacific,113761.98756186452
gaskett2001,gymnoscopelus fraseri,1999,australia pacific,113761.98756186452
gaskett2001,gymnoscopelus microlampas,1999,australia,113761.98756186452
gaskett2001,gymnoscopelus nicholsi,1999,australia pacific,113761.98756186452
gaskett2001,gymnoscopelus piabilis,1999,australia pacific,113761.98756186452
gaskett2001,kreffichthys anderssoni,1999,australia pacific,113761.98756186452
gaskett2001,lampanyctus achirus,1999,australia pacific,113761.98756186452
gaskett2001,protomyctophum andriashevi,1999,australia pacific,113761.98756186452
gaskett2001,protomyctophum bolini,1999,australia pacific,113761.98756186452
gaskett2001,protomyctophum parallelum,1999,australia pacific,113761.98756186452
gaskett2001,protomyctophum tenisoni,1999,australia pacific,113761.98756186452
gong2024,diaphus brachycephalus,2015,south china sea,538367.8954975671
gong2024,ceratoscopelus warmingii,2015,south china sea,538367.8954975671
halliday2015,ceratoscopelus maderensis,1988,slope sea,293136.57187758497
halliday2015,benthosema glaciale,1988,slope sea,293136.57187758497
hopkins1992,centrobranchus nigroocellatus,1984,gulf of mexico,305252.4213936145
hopkins1992,benthosema suborbitale,1984,gulf of mexico,305252.4213936145
hopkins1992,bolinichthys photothorax,1984,gulf of mexico,305252.4213936145
hopkins1992,ceratoscopelus warmingii,1984,gulf of mexico,305252.4213936145
hopkins1992,diaphus dumerilii,1984,gulf of mexico,305252.4213936145
hopkins1992,diaphus lucidus,1984,gulf of mexico,305252.4213936145
hopkins1992,diaphus mollis,1984,gulf of mexico,305252.4213936145
hopkins1992,diaphus perspicillatus,1984,gulf of mexico,305252.4213936145
hopkins1992,diaphus splendidus,1984,gulf of mexico,305252.4213936145
hopkins1992,diaphus taaningi,1984,gulf of mexico,305252.4213936145
hopkins1992,hygophum hygomii,1984,gulf of mexico,305252.4213936145
hopkins1992,lampanyctus alatus,1984,gulf of mexico,305252.4213936145
hopkins1992,lepidophanes guentheri,1984,gulf of mexico,305252.4213936145
hopkins1992,lobianchia gemellarii,1984,gulf of mexico,305252.4213936145
hopkins1992,myctophum affine,1984,gulf of mexico,305252.4213936145
hopkins1992,notolychnus valdiviae,1984,gulf of mexico,305252.4213936145
hopkins1992,notoscopelus resplendens,1984,gulf of mexico,305252.4213936145
hopkins2013,lampanyctus alatus,1970,gulf of mexico,305252.4213936145
hudson2014,protomyctophum arcticum,2004,mid atlantic ridge,1162409.0546117953
hudson2014,hygophum hygomii,2004,mid atlantic ridge,1162409.0546117953
hudson2014,benthosema glaciale,2004,mid atlantic ridge,1162409.0546117953
kawaguchi1982,protomyctophum arcticum,1973,ireland,149865.00513594912
kawaguchi1982,benthosema glaciale,1973,ireland,149865.00513594912
kawaguchi1982,lampanyctus macdonaldi,1973,ireland,149865.00513594912
kinzer1985,notolychnus valdiviae,1974,tropical atlantic,1257694.6317480188
kinzer1985,diaphus brachycephalus,1974,tropical atlantic,1257694.6317480188
kinzer1985,ceratoscopelus warmingii,1974,NA,1257694.6317480188
kinzer1985,diaphus leutkeni,1974,tropical atlantic,1257694.6317480188
kinzer1985,lampanyctus alatus,1974,NA,1257694.6317480188
kinzer1985,diaphus dumerilii,1974,tropical atlantic,1257694.6317480188
kinzer1985,lepidophanes guentheri,1974,tropical atlantic,1257694.6317480188
kinzer1993,diaphus arabicus,1987,arabian sea,449170.9595349735
kinzer1993,benthosema pterotum,1987,arabian sea,449170.9595349735
kinzer1993,hygophum proximum,1987,arabian sea,449170.9595349735
kinzer1993,diaphus thriollierei,1987,arabian sea,449170.9595349735
kinzer1993,benthosema fibulatum,1987,arabian sea,449170.9595349735
kinzer1993,bolinichthys longipes,1987,arabian sea,449170.9595349735
knutsen2023,benthosema glaciale,2013,norway,217399.07847852496
