count,Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
256,"C.A., Choy, C. Anela; P.C., Davison, Peter C.; J.C., Drazen, Jeffrey C.; A.J., Flynn, Adrian J.; E.J., Gier, Elizabeth J.; J.C., Hoffman, Joel Christopher; J.P., McClain-Counts, Jennifer P.; T.W., Miller, Todd William; B.N., Popp, Brian N.; S.W., Ross, Steve W.","Choy, C. Anela (25639544100); Davison, Peter C. (41861182600); Drazen, Jeffrey C. (7202121266); Flynn, Adrian J. (55013001600); Gier, Elizabeth J. (6508242479); Hoffman, Joel Christopher (14828863900); McClain-Counts, Jennifer P. (55538445500); Miller, Todd William (24067232500); Popp, Brian N. (7005754341); Ross, Steve W. (7401610307)",25639544100; 41861182600; 7202121266; 55013001600; 6508242479; 14828863900; 55538445500; 24067232500; 7005754341; 7401610307,"Global Trophic Position Comparison of Two Dominant Mesopelagic Fish Families (Myctophidae, Stomiidae) Using Amino Acid Nitrogen Isotopic Analyses",2012,PLOS ONE,7,11,e50133,,,0,99,10.1371/journal.pone.0050133,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870381392&doi=10.1371%2Fjournal.pone.0050133&partnerID=40&md5=e27bb5cab8727f1beaf63f213755a1af,Article,Final,All Open Access; Gold Open Access; Green Final Open Access; Green Open Access,Scopus,2-s2.0-84870381392
257,"A.J., Flynn, Adrian J.; R.J., Kloser, Rudy J.","Flynn, Adrian J. (55013001600); Kloser, Rudy J. (6602159401)",55013001600; 6602159401,Cross-basin heterogeneity in lanternfish (family Myctophidae) assemblages and isotopic niches (δ 13C and δ 15N) in the southern Tasman Sea abyssal basin,2012,Deep-Sea Research Part I: Oceanographic Research Papers,69,,,113,127,0,24,10.1016/j.dsr.2012.07.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866661383&doi=10.1016%2Fj.dsr.2012.07.007&partnerID=40&md5=2aa1b00b1accefee39f3deb954f0f562,Article,Final,,Scopus,2-s2.0-84866661383
258,"A.L., Lara-Lopez, Ana Ligia; P.C., Davison, Peter C.; J.A., Koslow, Julian Anthony","Lara-Lopez, Ana Ligia (25522383900); Davison, Peter C. (41861182600); Koslow, Julian Anthony (7003634325)",25522383900; 41861182600; 7003634325,Abundance and community composition of micronekton across a front off Southern California,2012,Journal of Plankton Research,34,9,,828,848,0,24,10.1093/plankt/fbs016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864670356&doi=10.1093%2Fplankt%2Ffbs016&partnerID=40&md5=2ad38703d7f5bf111b5a1656014c203d,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-84864670356
259,"J., Vacquié-Garcia, Jade; F., Royer, François; A.C., Dragon, Anne Cécile; M., Viviant, Morgane; F., Bailleul, Frédéric; C.R., Guinet, Christophe R.","Vacquié-Garcia, Jade (54409949600); Royer, François (14629603000); Dragon, Anne Cécile (36547646800); Viviant, Morgane (35185593800); Bailleul, Frédéric (8593887900); Guinet, Christophe R. (7005381471)",54409949600; 14629603000; 36547646800; 35185593800; 8593887900; 7005381471,Foraging in the Darkness of the Southern Ocean: Influence of Bioluminescence on a Deep Diving Predator,2012,PLOS ONE,7,8,e43565,,,0,39,10.1371/journal.pone.0043565,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865579809&doi=10.1371%2Fjournal.pone.0043565&partnerID=40&md5=c7317a35cd8d57bd751cebee2739cec5,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Final Open Access; Green Open Access,Scopus,2-s2.0-84865579809
260,"H.M., Renner, Heather M.; F.J., Mueter, Franz Josef; B.A., Drummond, Brie A.; J.A., Warzybok, John A.; E.H., Sinclair, Elizabeth Hacker","Renner, Heather M. (9736299600); Mueter, Franz Josef (6602973725); Drummond, Brie A. (8862367600); Warzybok, John A. (55080812300); Sinclair, Elizabeth Hacker (35830488300)",9736299600; 6602973725; 8862367600; 55080812300; 35830488300,Patterns of change in diets of two piscivorous seabird species during 35 years in the Pribilof Islands,2012,Deep-Sea Research Part II: Topical Studies in Oceanography,65-70,,,273,291,0,40,10.1016/j.dsr2.2012.02.014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861571216&doi=10.1016%2Fj.dsr2.2012.02.014&partnerID=40&md5=de78325b208647e68f72087c35fc8a42,Article,Final,,Scopus,2-s2.0-84861571216
261,"C.C., Lenky, Crystal C.; R., Eisert, Regina; O.T., Oftedal, Olav T.; V.J., Metcalf, Victoria J.","Lenky, Crystal C. (39261856700); Eisert, Regina (8893082800); Oftedal, Olav T. (7003794747); Metcalf, Victoria J. (6701463440)",39261856700; 8893082800; 7003794747; 6701463440,"Proximate composition and energy density of nototheniid and myctophid fish in McMurdo Sound and the Ross Sea, Antarctica",2012,Polar Biology,35,5,,717,724,0,31,10.1007/s00300-011-1116-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859445439&doi=10.1007%2Fs00300-011-1116-9&partnerID=40&md5=89899524cf680ee8618d8484be0a9704,Article,Final,,Scopus,2-s2.0-84859445439
262,"O., Yamamura, Orio; T., Nobetsu, Takahiro","Yamamura, Orio (55892678800); Nobetsu, Takahiro (15762971600)",55892678800; 15762971600,Food habits of threadfin hakeling Laemonema longipes along the Pacific coast of northern Japan,2012,Journal of the Marine Biological Association of the United Kingdom,92,3,,613,621,0,2,10.1017/S0025315411000324,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859305229&doi=10.1017%2FS0025315411000324&partnerID=40&md5=601a175d1c2d36d33b557015db3cdc7a,Article,Final,,Scopus,2-s2.0-84859305229
263,"L., Kernaléguen, Laëtitia; B., Cazelles, Bernard; J.P., Arnould, John P.Y.; P., Richard, Pierre; C.R., Guinet, Christophe R.; Y., Chérel, Yves","Kernaléguen, Laëtitia (55089326000); Cazelles, Bernard (57205496823); Arnould, John P.Y. (7007039027); Richard, Pierre (55549835200); Guinet, Christophe R. (7005381471); Chérel, Yves (7006288139)",55089326000; 57205496823; 7007039027; 55549835200; 7005381471; 7006288139,"Long-term species, sexual and individual variations in foraging strategies of fur seals revealed by stable isotopes in whiskers",2012,PLOS ONE,7,3,e32916,,,0,90,10.1371/journal.pone.0032916,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858247486&doi=10.1371%2Fjournal.pone.0032916&partnerID=40&md5=6c2f519fa8ea71e336fdda03d730e8a1,Article,Final,All Open Access; Gold Open Access; Green Final Open Access; Green Open Access,Scopus,2-s2.0-84858247486
264,"L.L., Allum, L. L.; F.W., Maddigan, Fraser W.","Allum, L. L. (55152555600); Maddigan, Fraser W. (8547547800)",55152555600; 8547547800,"Unusual stability of diet of the New Zealand fur seal (Arctocephalus forsteri) at Banks Peninsula, New Zealand",2012,New Zealand Journal of Marine and Freshwater Research,46,1,,91,96,0,6,10.1080/00288330.2011.604336,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859154354&doi=10.1080%2F00288330.2011.604336&partnerID=40&md5=9b5483a450876c74968ffa58382c4447,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-84859154354
265,"E., Dypvik, Eivind; T.A., Klevjer, Thor Aleksander; S., Kaartvedt, Stein","Dypvik, Eivind (53983990300); Klevjer, Thor Aleksander (8876056600); Kaartvedt, Stein (7003377290)",53983990300; 8876056600; 7003377290,Inverse vertical migration and feeding in glacier lanternfish (Benthosema glaciale),2012,Marine Biology,159,2,,443,453,0,43,10.1007/s00227-011-1822-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856016102&doi=10.1007%2Fs00227-011-1822-4&partnerID=40&md5=33542275f01800c94f7d67add360127a,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-84856016102
266,"M.V., Sturdevant, Molly V.; J.A., Orsi, Joseph A.; E.A., Fergusson, Emily A.","Sturdevant, Molly V. (6603384035); Orsi, Joseph A. (6601985083); Fergusson, Emily A. (8644993000)",6603384035; 6601985083; 8644993000,"Diets and Trophic Linkages of Epipelagic Fish Predators in Coastal Southeast Alaska during a Period of Warm and Cold Climate Years, 1997–2011",2012,Marine and Coastal Fisheries,4,1,,526,545,0,24,10.1080/19425120.2012.694838,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902387322&doi=10.1080%2F19425120.2012.694838&partnerID=40&md5=08f4f51a8d1d459cb18aeee30c38806d,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-84902387322
267,"R.C., Fijn, Ruben Christiaan; J.A., van Franeker, Jan Andries; P.N., Trathan, Philip N.","Fijn, Ruben Christiaan (55520327400); van Franeker, Jan Andries (6602084064); Trathan, Philip N. (7003343692)",55520327400; 6602084064; 7003343692,"Dietary variation in chick-feeding and self-provisioning Cape petrel Daption capense and Snow Petrel Pagodroma Nivea at Signy Island, South Orkney Islands, Antarctica",2012,Marine Ornithology,40,2,,81,87,0,20,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870920737&partnerID=40&md5=46a5a67203165059a3ab52af3a4218ff,Article,Final,,Scopus,2-s2.0-84870920737
